,track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0,rotunda,surgeon,0ITThluJ75byBK7SdUwR5W,0.724,0.941,6,-13.646,0,0.0555,8.61e-06,0.93,0.105,0.219,134.312,audio_features,spotify:track:0ITThluJ75byBK7SdUwR5W,https://api.spotify.com/v1/tracks/0ITThluJ75byBK7SdUwR5W,https://api.spotify.com/v1/audio-analysis/0ITThluJ75byBK7SdUwR5W,267307,4
1,nosara,little symphony,2MV2CBFcQa6WPLFMicSvu3,0.0614,0.00153,0,-28.262,1,0.0516,0.969,0.995,0.112,0.0671,74.04,audio_features,spotify:track:2MV2CBFcQa6WPLFMicSvu3,https://api.spotify.com/v1/tracks/2MV2CBFcQa6WPLFMicSvu3,https://api.spotify.com/v1/audio-analysis/2MV2CBFcQa6WPLFMicSvu3,119102,3
2,rat patrol,naked raygun,77wihvKjsijCbjkGnuAnnn,0.306,0.907,11,-10.353,1,0.0512,0.00175,0.523,0.45,0.564,134.978,audio_features,spotify:track:77wihvKjsijCbjkGnuAnnn,https://api.spotify.com/v1/tracks/77wihvKjsijCbjkGnuAnnn,https://api.spotify.com/v1/audio-analysis/77wihvKjsijCbjkGnuAnnn,131867,4
3,who loves the sun - 2015 remaster,the velvet underground,1rJi8cf8OWsrX4CqBnMSoQ,0.441,0.568,4,-8.833,1,0.0298,0.326,0.0,0.368,0.721,130.131,audio_features,spotify:track:1rJi8cf8OWsrX4CqBnMSoQ,https://api.spotify.com/v1/tracks/1rJi8cf8OWsrX4CqBnMSoQ,https://api.spotify.com/v1/audio-analysis/1rJi8cf8OWsrX4CqBnMSoQ,166213,4
4,sana değmez,3 hürel,5qHHMrS7MnxayRuf6wXqUV,0.511,0.364,7,-16.941,0,0.0444,0.0782,0.435,0.0745,0.543,160.043,audio_features,spotify:track:5qHHMrS7MnxayRuf6wXqUV,https://api.spotify.com/v1/tracks/5qHHMrS7MnxayRuf6wXqUV,https://api.spotify.com/v1/audio-analysis/5qHHMrS7MnxayRuf6wXqUV,294373,4
5,bad decisions,the strokes,55N8cxpE1QDoeaaNqUnoZ2,0.374,0.922,0,-3.4,1,0.056,0.0135,0.204,0.28,0.393,153.217,audio_features,spotify:track:55N8cxpE1QDoeaaNqUnoZ2,https://api.spotify.com/v1/tracks/55N8cxpE1QDoeaaNqUnoZ2,https://api.spotify.com/v1/audio-analysis/55N8cxpE1QDoeaaNqUnoZ2,293360,4
6,ready to rumble,hicksville bombers,64KZTBQqCG8OEWlidIM9ii,0.522,0.822,11,-7.568,0,0.0888,0.362,0.000181,0.136,0.844,202.457,audio_features,spotify:track:64KZTBQqCG8OEWlidIM9ii,https://api.spotify.com/v1/tracks/64KZTBQqCG8OEWlidIM9ii,https://api.spotify.com/v1/audio-analysis/64KZTBQqCG8OEWlidIM9ii,224880,4
7,so cold,breaking benjamin,4BJyt25nburVwbnESDeIc7,0.49,0.774,0,-5.436,0,0.0604,0.00305,8.16e-05,0.12,0.297,153.048,audio_features,spotify:track:4BJyt25nburVwbnESDeIc7,https://api.spotify.com/v1/tracks/4BJyt25nburVwbnESDeIc7,https://api.spotify.com/v1/audio-analysis/4BJyt25nburVwbnESDeIc7,273440,4
8,too late,lamorris williams,3V4QcyECt66Xmj6NoKEqlB,0.834,0.537,5,-5.337,1,0.0609,0.0817,0.0,0.235,0.729,133.001,audio_features,spotify:track:3V4QcyECt66Xmj6NoKEqlB,https://api.spotify.com/v1/tracks/3V4QcyECt66Xmj6NoKEqlB,https://api.spotify.com/v1/audio-analysis/3V4QcyECt66Xmj6NoKEqlB,199916,4
9,right now,empire,1mK1HDtie9WU6DAw3VAC4r,0.402,0.961,6,-2.235,1,0.133,0.0445,2.86e-06,0.904,0.312,154.97,audio_features,spotify:track:1mK1HDtie9WU6DAw3VAC4r,https://api.spotify.com/v1/tracks/1mK1HDtie9WU6DAw3VAC4r,https://api.spotify.com/v1/audio-analysis/1mK1HDtie9WU6DAw3VAC4r,212691,4
10,unbreakable,rygin king,48eDHR9rcXM4qpJwfXyUhG,0.586,0.556,2,-11.042,1,0.345,0.111,0.0,0.121,0.522,80.949,audio_features,spotify:track:48eDHR9rcXM4qpJwfXyUhG,https://api.spotify.com/v1/tracks/48eDHR9rcXM4qpJwfXyUhG,https://api.spotify.com/v1/audio-analysis/48eDHR9rcXM4qpJwfXyUhG,191580,4
11,from dusk till dawn,upon a burning body,5K33HCwChkSVoO9Vh4KtDv,0.362,0.98,9,-4.143,0,0.253,4.28e-05,4.97e-06,0.324,0.205,118.567,audio_features,spotify:track:5K33HCwChkSVoO9Vh4KtDv,https://api.spotify.com/v1/tracks/5K33HCwChkSVoO9Vh4KtDv,https://api.spotify.com/v1/audio-analysis/5K33HCwChkSVoO9Vh4KtDv,152240,4
12,eat what you kill,unleash the archers,4e3nB8NXaIZyjImZvwQdh8,0.36,0.967,2,-1.574,1,0.0706,0.00113,0.0488,0.34,0.184,117.778,audio_features,spotify:track:4e3nB8NXaIZyjImZvwQdh8,https://api.spotify.com/v1/tracks/4e3nB8NXaIZyjImZvwQdh8,https://api.spotify.com/v1/audio-analysis/4e3nB8NXaIZyjImZvwQdh8,280773,4
13,pagan dream machine - vibrasphere remix,entheogenic,5BRXWwO8o77U6717HnpbCL,0.592,0.506,4,-12.327,0,0.039,0.00346,0.606,0.406,0.289,89.991,audio_features,spotify:track:5BRXWwO8o77U6717HnpbCL,https://api.spotify.com/v1/tracks/5BRXWwO8o77U6717HnpbCL,https://api.spotify.com/v1/audio-analysis/5BRXWwO8o77U6717HnpbCL,514907,4
14,like you used to,kidnap,6DVm8BPg3ltHIcrrNacCVe,0.696,0.459,5,-10.573,0,0.0287,0.117,0.495,0.0823,0.221,120.041,audio_features,spotify:track:6DVm8BPg3ltHIcrrNacCVe,https://api.spotify.com/v1/tracks/6DVm8BPg3ltHIcrrNacCVe,https://api.spotify.com/v1/audio-analysis/6DVm8BPg3ltHIcrrNacCVe,231576,4
15,the emperor,firespawn,06rOxukSVjlayGLatbjU3D,0.434,0.97,7,-5.44,1,0.162,5.4e-05,0.708,0.279,0.074,120.026,audio_features,spotify:track:06rOxukSVjlayGLatbjU3D,https://api.spotify.com/v1/tracks/06rOxukSVjlayGLatbjU3D,https://api.spotify.com/v1/audio-analysis/06rOxukSVjlayGLatbjU3D,307750,4
16,technology,carl craig,3YOTmsDDNbu87ZnZlaXIz0,0.724,0.551,10,-11.679,0,0.0709,0.00489,0.114,0.097,0.558,128.006,audio_features,spotify:track:3YOTmsDDNbu87ZnZlaXIz0,https://api.spotify.com/v1/tracks/3YOTmsDDNbu87ZnZlaXIz0,https://api.spotify.com/v1/audio-analysis/3YOTmsDDNbu87ZnZlaXIz0,412800,4
17,never forget my love,joss stone,0bkZDWw012IDeE8mkGScga,0.609,0.697,4,-5.162,0,0.0911,0.382,0.00123,0.231,0.87,159.847,audio_features,spotify:track:0bkZDWw012IDeE8mkGScga,https://api.spotify.com/v1/tracks/0bkZDWw012IDeE8mkGScga,https://api.spotify.com/v1/audio-analysis/0bkZDWw012IDeE8mkGScga,221413,4
18,golden hour,dustycloud,6b6CdXY3wpG7OFtp6FOwLz,0.681,0.627,8,-8.842,1,0.159,0.303,7.04e-05,0.245,0.135,125.008,audio_features,spotify:track:6b6CdXY3wpG7OFtp6FOwLz,https://api.spotify.com/v1/tracks/6b6CdXY3wpG7OFtp6FOwLz,https://api.spotify.com/v1/audio-analysis/6b6CdXY3wpG7OFtp6FOwLz,269695,4
19,salvaje,timothy infinite,5pHVJGizchdV0tApncpJjf,0.869,0.718,7,-6.476,1,0.0935,0.0092,0.619,0.877,0.394,120.006,audio_features,spotify:track:5pHVJGizchdV0tApncpJjf,https://api.spotify.com/v1/tracks/5pHVJGizchdV0tApncpJjf,https://api.spotify.com/v1/audio-analysis/5pHVJGizchdV0tApncpJjf,128000,4
20,punchiri thanjum,shankar mahadevan,3MKKUXDerbZYgiakyrzjKm,0.588,0.198,0,-13.095,1,0.0306,0.727,0.0,0.169,0.427,117.096,audio_features,spotify:track:3MKKUXDerbZYgiakyrzjKm,https://api.spotify.com/v1/tracks/3MKKUXDerbZYgiakyrzjKm,https://api.spotify.com/v1/audio-analysis/3MKKUXDerbZYgiakyrzjKm,276252,4
21,time to move on,hozho,5QxuFcNJ9WsSJmRzj8Z1GZ,0.743,0.697,1,-6.922,1,0.039,0.0483,0.709,0.109,0.211,126.989,audio_features,spotify:track:5QxuFcNJ9WsSJmRzj8Z1GZ,https://api.spotify.com/v1/tracks/5QxuFcNJ9WsSJmRzj8Z1GZ,https://api.spotify.com/v1/audio-analysis/5QxuFcNJ9WsSJmRzj8Z1GZ,600500,4
22,du machst mich süchtig,michelle,3DCi2g9Dc8KDWW4fq4Xd7z,0.686,0.862,0,-4.387,0,0.031,0.202,5.27e-06,0.126,0.613,123.995,audio_features,spotify:track:3DCi2g9Dc8KDWW4fq4Xd7z,https://api.spotify.com/v1/tracks/3DCi2g9Dc8KDWW4fq4Xd7z,https://api.spotify.com/v1/audio-analysis/3DCi2g9Dc8KDWW4fq4Xd7z,221893,4
23,um dia,pablo,0PO7wSSVIiQvQNfbyENGhO,0.69,0.621,2,-6.87,0,0.0266,0.285,0.0,0.383,0.815,131.993,audio_features,spotify:track:0PO7wSSVIiQvQNfbyENGhO,https://api.spotify.com/v1/tracks/0PO7wSSVIiQvQNfbyENGhO,https://api.spotify.com/v1/audio-analysis/0PO7wSSVIiQvQNfbyENGhO,220787,4
